rsaude;Municipio;COD;CUF;UF;Latitude;Longitude;CodDATASUS
Zona da Mata;Alta Floresta D'Oeste;1100015;11;RO;-11,9283;-61,9953;110001
Zona da Mata;Alto Alegre dos Parecis;1100379;11;RO;-12,132;-61,835;110037
Vale do Jamari;Alto Paraíso;1100403;11;RO;-9,71429;-63,3188;110040
Central;Alvorada D'Oeste;1100346;11;RO;-11,3463;-62,2847;110034
Vale do Jamari;Ariquemes;1100023;11;RO;-9,90571;-63,0325;110002
Vale do Jamari;Buritis;1100452;11;RO;-10,1943;-63,8324;110045
Cone do Sul;Cabixi;1100031;11;RO;-13,4945;-60,552;110003
Vale do Jamari;Cacaulândia;1100601;11;RO;-10,349;-62,9043;110060
Café;Cacoal;1100049;11;RO;-11,4343;-61,4562;110004
Vale do Jamari;Campo Novo de Rondônia;1100700;11;RO;-10,5712;-63,6266;110070
Madeira Mamoré ;Candeias do Jamari;1100809;11;RO;-8,7907;-63,7005;110080
Zona da Mata;Castanheiras;1100908;11;RO;-11,4253;-61,9482;110090
Cone do Sul;Cerejeiras;1100056;11;RO;-13,187;-60,8168;110005
Cone do Sul;Chupinguaia;1100924;11;RO;-12,5611;-60,8877;110092
Cone do Sul;Colorado do Oeste;1100064;11;RO;-13,1174;-60,5454;110006
Cone do Sul;Corumbiara;1100072;11;RO;-12,9551;-60,8947;110007
Vale do Guaporé;Costa Marques;1100080;11;RO;-12,4367;-64,228;110008
Vale do Jamari;Cujubim;1100940;11;RO;-9,36065;-62,5846;110094
Café;Espigão D'Oeste;1100098;11;RO;-11,5266;-61,0252;110009
Central;Governador Jorge Teixeira;1101005;11;RO;-10,61;-62,7371;110100
Madeira Mamoré ;Guajará-Mirim;1100106;11;RO;-10,7889;-65,3296;110010
Madeira Mamoré ;Itapuã do Oeste;1101104;11;RO;-9,19687;-63,1809;110110
Central;Jaru;1100114;11;RO;-10,4318;-62,4788;110011
Central;Ji-Paraná;1100122;11;RO;-10,8777;-61,9322;110012
Vale do Jamari;Machadinho D'Oeste;1100130;11;RO;-9,44363;-61,9818;110013
Café;Ministro Andreazza;1101203;11;RO;-11,196;-61,5174;110120
Central;Mirante da Serra;1101302;11;RO;-11,029;-62,6696;110130
Vale do Jamari;Monte Negro;1101401;11;RO;-10,2458;-63,29;110140
Zona da Mata;Nova Brasilândia D'Oeste;1100148;11;RO;-11,7247;-62,3127;110014
Madeira Mamoré ;Nova Mamoré;1100338;11;RO;-10,4077;-65,3346;110033
Central;Nova União;1101435;11;RO;-10,9068;-62,5564;110143
Zona da Mata;Novo Horizonte do Oeste;1100502;11;RO;-11,6961;-61,9951;110050
Central;Ouro Preto do Oeste;1100155;11;RO;-10,7167;-62,2565;110015
Zona da Mata;Parecis;1101450;11;RO;-12,1754;-61,6032;110145
Café;Pimenta Bueno;1100189;11;RO;-11,672;-61,198;110018
Cone do Sul;Pimenteiras do Oeste;1101468;11;RO;-13,4823;-61,0471;110146
Madeira Mamoré ;Porto Velho;1100205;11;RO;-8,76077;-63,8999;110020
Central;Presidente Médici;1100254;11;RO;-11,169;-61,8986;110025
Café;Primavera de Rondônia;1101476;11;RO;-11,8295;-61,3153;110147
Vale do Jamari;Rio Crespo;1100262;11;RO;-9,69965;-62,9011;110026
Zona da Mata;Rolim de Moura;1100288;11;RO;-11,7271;-61,7714;110028
Zona da Mata;Santa Luzia D'Oeste;1100296;11;RO;-11,9074;-61,7777;110029
Café;São Felipe D'Oeste;1101484;11;RO;-11,9023;-61,5026;110148
Vale do Guaporé;São Francisco do Guaporé;1101492;11;RO;-12,052;-63,568;110149
Central;São Miguel do Guaporé;1100320;11;RO;-11,6953;-62,7192;110032
Vale do Guaporé;Seringueiras;1101500;11;RO;-11,8055;-63,0182;110150
Central;Teixeirópolis;1101559;11;RO;-10,9056;-62,242;110155
Central;Theobroma;1101609;11;RO;-10,2483;-62,3538;110160
Central;Urupá;1101708;11;RO;-11,1261;-62,3639;110170
Central;Vale do Anari;1101757;11;RO;-9,86215;-62,1876;110175
Central;Vale do Paraíso;1101807;11;RO;-10,4465;-62,1352;110180
Cone do Sul;Vilhena;1100304;11;RO;-12,7502;-60,1488;110030
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
